date,event_name,winner_side,team1_name,team2_name,team1_score,team2_score,match_url,map1_team1_startside,map1_team2_startside,map1_round1_winner,map1_round2_winner,map1_round3_winner,map1_round4_winner,map1_round5_winner,map1_round6_winner,map1_round7_winner,map1_round8_winner,map1_round9_winner,map1_round10_winner,map1_round11_winner,map1_round12_winner,map1_round13_winner,map1_round14_winner,map1_round15_winner,map1_round16_winner,map1_round17_winner,map1_round18_winner,map1_round19_winner,map1_round20_winner,map1_round21_winner,map1_round22_winner,map1_round23_winner,map1_round24_winner,map2_team1_startside,map2_team2_startside,map2_round1_winner,map2_round2_winner,map2_round3_winner,map2_round4_winner,map2_round5_winner,map2_round6_winner,map2_round7_winner,map2_round8_winner,map2_round9_winner,map2_round10_winner,map2_round11_winner,map2_round12_winner,map2_round13_winner,map2_round14_winner,map2_round15_winner,map2_round16_winner,map2_round17_winner,map2_round18_winner,map2_round19_winner,map2_round20_winner,map2_round21_winner,map2_round22_winner,map2_round23_winner,map2_round24_winner,map3_team1_startside,map3_team2_startside,map3_round1_winner,map3_round2_winner,map3_round3_winner,map3_round4_winner,map3_round5_winner,map3_round6_winner,map3_round7_winner,map3_round8_winner,map3_round9_winner,map3_round10_winner,map3_round11_winner,map3_round12_winner,map3_round13_winner,map3_round14_winner,map3_round15_winner,map3_round16_winner,map3_round17_winner,map3_round18_winner,map3_round19_winner,map3_round20_winner,map3_round21_winner,map3_round22_winner,map3_round23_winner,map3_round24_winner
2025-10-03T07:00:00Z,CCT Season 3 Europe Series 8,team2,Zero Tenacity,SINNERS,1.0,2.0,https://www.hltv.org/matches/2386272/-,ct,t,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,t,ct,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team2,team1,team2,team1,team1,team1,team2,team1,team1,team1,team2,team1,t,ct,team1,team1,team1,team2,team1,team2,team1,team2,team2,team2,team2,team2,team1,team2,team2,team2,team1,team2,team2,team1,team1,team2,team2,team2
2025-10-03T08:40:00Z,Circuit X South America Season 1,team1,Fluxo,Afundacao,2.0,0.0,https://www.hltv.org/matches/2386373/-,ct,t,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team1,team2,team1,team1,team2,team2,team2,team1,team1,team1,team1,team1,team2,team1,team1,team2,team1,team1,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-03T07:00:00Z,Winline Insight Season 8,team1,JiJieHao,SPARTA,2.0,1.0,https://www.hltv.org/matches/2386220/-,t,ct,team1,team1,team1,team1,team2,team1,team2,team2,team2,team2,team2,team2,team1,team1,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2,ct,t,team2,team2,team2,team1,team2,team1,team1,team1,team1,team1,team2,team2,team1,team1,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,ct,t,team1,team1,team1,team1,team1,team1,team2,team2,team1,team1,team2,team1,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2
2025-10-03T07:00:00Z,NODWIN Clutch Series 1 Closed Qualifier,team1,kONO,UNiTY,2.0,1.0,https://www.hltv.org/matches/2386492/-,ct,t,team1,team1,team2,team1,team1,team2,team2,team2,team1,team2,team1,team2,team2,team2,team2,team2,team1,team1,team1,team2,team1,team2,team2,team2,t,ct,team2,team2,team1,team1,team1,team1,team2,team2,team2,team1,team1,team2,team1,team1,team2,team1,team1,team2,team1,team1,team1,team2,team2,team2,t,ct,team2,team1,team2,team1,team1,team1,team2,team1,team2,team1,team2,team1,team2,team1,team1,team1,team1,team1,team2,team2,team1,team2,team2,team2
2025-10-03T07:00:00Z,Exort The Proving Grounds Season 5,team1,Johnny Speeds,ARCRED,2.0,0.0,https://www.hltv.org/matches/2386356/-,ct,t,team1,team1,team1,team2,team2,team2,team2,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team1,team2,team2,team1,team1,team1,team2,t,ct,team1,team1,team1,team1,team1,team2,team1,team1,team2,team1,team2,team2,team1,team1,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-03T05:00:00Z,XSE Pro League Shanghai 2025,team1,Rare Atom,FengDa,2.0,1.0,https://www.hltv.org/matches/2386379/-,ct,t,team2,team2,team2,team1,team1,team2,team1,team1,team1,team1,team1,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team1,team1,team2,team1,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team1,team2,team2,team2,team2,ct,t,team1,team1,team1,team1,team1,team2,team1,team2,team1,team1,team1,team1,team2,team2,team1,team2,team1,team1,team2,team2,team2,team2,team2,team2
2025-10-03T04:00:00Z,CCT Season 3 Europe Series 8,team2,Johnny Speeds,GUN5,1.0,2.0,https://www.hltv.org/matches/2386271/-,t,ct,team1,team2,team2,team2,team2,team2,team1,team1,team2,team2,team2,team1,team1,team2,team2,team2,team1,team2,team1,team2,team2,team2,team2,team2,ct,t,team2,team2,team2,team1,team1,team1,team2,team2,team1,team1,team1,team1,team2,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,ct,t,team2,team1,team2,team1,team2,team2,team2,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team1,team1,team1,team2,team2,team2
2025-10-03T04:00:00Z,Exort The Proving Grounds Season 5,team2,SINNERS,Eternal Fire,0.0,2.0,https://www.hltv.org/matches/2386355/-,ct,t,team2,team2,team1,team1,team1,team2,team2,team2,team2,team2,team1,team2,team1,team1,team1,team2,team2,team2,team2,team1,team1,team1,team2,team2,ct,t,team1,team2,team2,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team1,team1,team1,team1,team1,team2,team2,team1,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-03T01:20:00Z,Circuit X South America Season 1,team1,Imperial,Gaimin Gladiators,2.0,0.0,https://www.hltv.org/matches/2386386/-,ct,t,team1,team1,team1,team1,team1,team2,team1,team2,team1,team1,team1,team1,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team1,team1,team1,team2,team1,team1,team1,team2,team1,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-03T00:40:00Z,Circuit X South America Season 1,team2,ALZON,2GAME,0.0,2.0,https://www.hltv.org/matches/2386387/-,t,ct,team1,team1,team2,team2,team2,team2,team2,team2,team2,team1,team1,team2,team1,team1,team1,team2,team2,team1,team2,team2,team2,team2,team2,team2,ct,t,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T22:00:00Z,Liga Gamers Club 2025 Serie A September Cup,team2,ODDIK Academy,LP,1.0,2.0,https://www.hltv.org/matches/2386171/-,ct,t,team2,team2,team2,team2,team1,team2,team2,team2,team1,team2,team2,team1,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team1,team1,team1,team1,team1,team2,team1,team1,team1,team2,team1,team2,team2,ct,t,team1,team1,team2,team2,team2,team2,team1,team2,team2,team1,team1,team2,team2,team1,team1,team2,team2,team1,team1,team2,team2,team1,team1,team1
2025-10-02T21:00:00Z,Circuit X South America Season 1,team2,2GAME,Gaimin Gladiators,1.0,2.0,https://www.hltv.org/matches/2386372/-,ct,t,team2,team2,team2,team2,team2,team1,team1,team2,team1,team2,team2,team2,team1,team1,team1,team2,team2,team1,team1,team1,team2,team2,team2,team2,t,ct,team2,team2,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,t,ct,team1,team2,team2,team2,team2,team2,team1,team2,team2,team1,team2,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2
2025-10-02T21:00:00Z,Circuit X South America Season 1,team1,Imperial,ALZON,2.0,0.0,https://www.hltv.org/matches/2386371/-,ct,t,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T20:30:00Z,CCT Season 3 North America Series 2,team1,regain,FULL SEND,2.0,0.0,https://www.hltv.org/matches/2386303/-,ct,t,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team1,team1,team2,team1,team1,team1,team2,team1,team2,team1,team1,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T19:30:00Z,ESL Impact League Season 8 North America,team1,Ghost,wwaves,2.0,0.0,https://www.hltv.org/matches/2386167/-,t,ct,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,team1,team1,team2,team2,team2,team2,team1,team1,team1,team1,team1,team2,team2,team1,t,ct,team1,team1,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team1,team2,team2,team1,team1,team1,team1,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T19:30:00Z,ESL Impact League Season 8 North America,team2,Black Mold,FlyQuest RED,0.0,2.0,https://www.hltv.org/matches/2386168/-,t,ct,team2,team2,team2,team1,team2,team1,team2,team1,team1,team2,team2,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,ct,t,team2,team2,team2,team2,team2,team2,team2,team1,team2,team2,team2,team2,team1,team1,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T16:45:00Z,Circuit X South America Season 1,team2,Galorys,ShindeN,1.0,2.0,https://www.hltv.org/matches/2386385/-,t,ct,team1,team1,team1,team2,team1,team1,team2,team1,team2,team2,team2,team2,team2,team2,team2,team1,team2,team2,team1,team1,team1,team1,team1,team1,ct,t,team2,team2,team2,team1,team1,team1,team1,team1,team2,team2,team1,team1,team1,team1,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team2,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,team2
2025-10-02T17:30:00Z,CCT Season 3 North America Series 2,team1,InControl,FlyQuest RED,2.0,0.0,https://www.hltv.org/matches/2386302/-,ct,t,team1,team1,team1,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T17:40:00Z,ESL Impact League Season 8 South America,team2,CAPIVARAS,MIBR fe,0.0,1.0,https://www.hltv.org/matches/2386164/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T17:00:00Z,ESL Impact League Season 8 South America,team1,FURIA fe,Dusty Roses,2.0,0.0,https://www.hltv.org/matches/2386163/-,ct,t,team1,team1,team1,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T14:30:00Z,ESL Impact League Season 8 Europe,team1,Nemesis Impact,shinigami,2.0,1.0,https://www.hltv.org/matches/2386160/-,ct,t,team1,team1,team2,team1,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,t,ct,team1,team1,team1,team2,team2,team2,team2,team1,team2,team1,team1,team1,team2,team2,team1,team2,team2,team1,team2,team2,team2,team2,team2,team2,ct,t,team1,team1,team1,team1,team1,team1,team2,team2,team1,team2,team1,team1,team2,team2,team2,team2,team2,team1,team1,team1,team2,team1,team2,team2
2025-10-02T13:50:00Z,Circuit X South America Season 1,team1,MIBR,ShindeN,2.0,0.0,https://www.hltv.org/matches/2386384/-,ct,t,,team1,team1,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,t,ct,,team1,team1,team1,team2,team1,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,team1,team1,team2,team2,team1,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T14:30:00Z,ESL Impact League Season 8 Europe,team1,Flame Sharks fe,AKA HERO KAJO,2.0,0.0,https://www.hltv.org/matches/2386159/-,t,ct,team1,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,ct,t,team1,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team1,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T13:05:00Z,ESL Pro League Season 22 Stage 1,team1,FURIA,B8,2.0,1.0,https://www.hltv.org/matches/2385929/-,ct,t,team1,team1,team2,team2,team2,team2,team2,team2,team2,team1,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team2,team2,team1,team1,team1,team2,team2,team1,team1,team1,team1,team2,team1,team1,team1,team1,team2,team2,team2,team1,team1,team2,team2,team2,ct,t,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team1,team1,team1,team1,team2,team2,team2,team1,team1,team1,team1,team1,team2,team2
2025-10-02T13:00:00Z,Exort The Proving Grounds Season 5,team2,EYEBALLERS,SPARTA,1.0,2.0,https://www.hltv.org/matches/2386354/-,t,ct,team2,team2,team2,team1,team2,team2,team1,team2,team2,team1,team2,team2,team1,team2,team2,team1,team2,team1,team1,team1,team1,team2,team1,team1,ct,t,team2,team2,team2,team1,team1,team1,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,ct,t,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team1,team1,team2,team2,team1,team1,team1,team2,team1,team1,team2,team1,team2
2025-10-02T13:50:00Z,Circuit X South America Season 1,team2,X7,Galorys,0.0,2.0,https://www.hltv.org/matches/2386383/-,t,ct,team2,team2,team2,team2,team2,team1,team1,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,ct,t,team2,team2,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team1,team1,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T13:00:00Z,NODWIN Clutch Series 1 Closed Qualifier,team2,Dziuseppe,Nuclear TigeRES,0.0,2.0,https://www.hltv.org/matches/2386239/-,t,ct,team2,team2,team2,team2,team1,team1,team2,team1,team2,team1,team1,team2,team2,team2,team1,team2,team1,team1,team1,team2,team2,team2,team2,team2,ct,t,team1,team1,team1,team1,team1,team1,team2,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,team1,team2,team2,team2,team1,team1,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T10:35:00Z,Galaxy Battle 2025 Phase 4,team2,Tricked,Anonymo,1.0,2.0,https://www.hltv.org/matches/2386196/-,t,ct,team2,team2,team1,team2,team2,team1,team2,team2,team1,team1,team2,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team1,team1,team1,ct,t,team1,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,team1,team1,team2,team2,team1,team1,team1,team2,team2,team2,team2,team2,ct,t,team2,team2,team2,team2,team2,team2,team1,team2,team2,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2
2025-10-02T11:30:00Z,Circuit X South America Season 1,team1,ShindeN,Galorys,2.0,0.0,https://www.hltv.org/matches/2386370/-,t,ct,team1,team1,team2,team1,team2,team1,team2,team1,team1,team1,team2,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,team2,ct,t,team2,team2,team1,team1,team1,team2,team1,team1,team2,team1,team1,team1,team2,team1,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T13:00:00Z,Galaxy Battle 2025 Phase 4,team1,Nexus,KHAN,1.0,0.0,https://www.hltv.org/matches/2386197/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T10:00:00Z,ESL Pro League Season 22 Stage 1,team1,Astralis,Legacy,2.0,1.0,https://www.hltv.org/matches/2385928/-,ct,t,team1,team1,team1,team2,team2,team2,team1,team2,team2,team1,team2,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team1,team2,team2,team2,team2,team2,team1,team2,team1,team1,team2,team2,team1,team2,team2,team1,team1,team1,team1,team2,team1,team1,t,ct,team1,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2
2025-10-02T11:30:00Z,Circuit X South America Season 1,team1,MIBR,X7,2.0,0.0,https://www.hltv.org/matches/2386369/-,t,ct,,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,ct,t,,team1,team1,team2,team2,team2,team1,team1,team1,team2,team1,team1,team1,team2,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T12:16:40Z,CCT Season 3 Europe Series 8,team1,RUBY,Y5,1.0,0.0,https://www.hltv.org/matches/2386270/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T10:20:00Z,NODWIN Clutch Series 1 Closed Qualifier,team1,m1x,MANA,2.0,0.0,https://www.hltv.org/matches/2386238/-,ct,t,team1,team1,team1,team2,team1,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team1,team1,team1,team2,team1,team1,team2,team2,team2,ct,t,team1,team1,team2,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T10:00:00Z,Winline Insight Season 8,team2,GUN5,ESC,0.0,2.0,https://www.hltv.org/matches/2386219/-,ct,t,team2,team2,team2,team2,team1,team1,team1,team2,team2,team1,team2,team1,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team2,team2,team2,team1,team1,team1,team2,team2,team1,team2,team2,team2,team1,team1,team2,team2,team2,team1,team1,team1,team1,team1,team2,team1,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T10:00:00Z,Exort The Proving Grounds Season 5,team1,Johnny Speeds,CYBERSHOKE,2.0,0.0,https://www.hltv.org/matches/2386353/-,t,ct,team2,team1,team1,team1,team1,team2,team2,team1,team1,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team1,ct,t,team1,team1,team1,team2,team1,team1,team1,team2,team1,team2,team2,team1,team1,team1,team1,team2,team2,team2,team1,team1,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T10:00:00Z,CCT Season 3 Europe Series 8,team2,EYEBALLERS,1win,0.0,2.0,https://www.hltv.org/matches/2386269/-,ct,t,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team1,team2,team2,team2,team1,team1,team2,team1,team1,team1,team2,team2,t,ct,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T09:00:00Z,XSE Pro League Shanghai 2025,team2,Kaleido,FengDa,0.0,2.0,https://www.hltv.org/matches/2386378/-,ct,t,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,team2,team2,team1,team2,team2,team1,team1,team2,t,ct,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T09:00:00Z,ESN Fall Showdown 2025,team1,The Huns,Chinggis Warriors,2.0,0.0,https://www.hltv.org/matches/2386368/-,ct,t,team2,team2,team1,team2,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team1,team2,team1,team1,team1,team2,team2,team2,team2,team2,ct,t,team1,team1,team2,team2,team2,team1,team1,team2,team1,team1,team1,team1,team2,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T07:00:00Z,Galaxy Battle 2025 Phase 4,team2,Sangal,FAVBET,1.0,2.0,https://www.hltv.org/matches/2386195/-,t,ct,team1,team1,team1,team1,team2,team1,team1,team1,team1,team1,team2,team1,team1,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,ct,t,team2,team2,team2,team2,team1,team2,team2,team2,team1,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,ct,t,team2,team2,team2,team2,team1,team1,team1,team2,team2,team1,team2,team2,team2,team2,team1,team2,team1,team1,team1,team1,team1,team2,team2,team2
2025-10-02T07:45:00Z,NODWIN Clutch Series 1 Closed Qualifier,team1,kONO,Y5,2.0,1.0,https://www.hltv.org/matches/2386237/-,ct,t,team1,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,t,ct,team2,team2,team2,team2,team2,team2,team1,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,ct,t,team2,team2,team1,team1,team1,team1,team1,team2,team2,team1,team1,team2,team1,team1,team1,team1,team2,team2,team2,team1,team1,team2,team2,team2
2025-10-02T07:30:00Z,Winline Insight Season 8,team1,Betera,SPARTA,2.0,0.0,https://www.hltv.org/matches/2386218/-,t,ct,team1,team2,team2,team2,team1,team1,team1,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,ct,t,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T07:30:00Z,ESL Pro League Season 22 Stage 1,team1,G2,ENCE,2.0,0.0,https://www.hltv.org/matches/2385927/-,ct,t,team1,team1,team1,team1,team1,team1,team2,team2,team1,team1,team1,team2,team1,team2,team2,team2,team1,team2,team2,team1,team2,team1,team2,team2,t,ct,team2,team1,team1,team1,team1,team2,team2,team1,team2,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T05:35:00Z,ESN Fall Showdown 2025,team1,Chinggis Warriors,NomadS,2.0,1.0,https://www.hltv.org/matches/2386367/-,ct,t,team1,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team2,team1,team2,team2,team2,team1,team2,team2,team1,team1,team1,team2,team2,t,ct,team1,team2,team2,team2,team1,team2,team1,team2,team2,team2,team1,team1,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team2,team1,team1,team1,team1,team1,team1,team2,team1,team2,team2,team2,team1,team1,team2,team2,team2,team1,team1,team2,team2,team2
2025-10-02T05:00:00Z,XSE Pro League Shanghai 2025,team1,Rare Atom,Change The Game,2.0,1.0,https://www.hltv.org/matches/2386377/-,ct,t,team2,team2,team2,team1,team1,team1,team1,team1,team2,team2,team2,team2,team1,team2,team1,team2,team1,team1,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team2,team1,team2,team2,team2,team1,team2,team2,team1,team2,team1,team1,team1,team1,team1,team2,team1,team1,team1,team2,team2,team2,ct,t,team1,team2,team2,team2,team1,team1,team1,team1,team1,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2
2025-10-02T07:00:00Z,CCT Season 3 Europe Series 8,team2,ex-SENZA,Mousquetaires,0.0,1.0,https://www.hltv.org/matches/2386268/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T04:00:00Z,United21 League Season 38,team2,fish123,WOPA,1.0,2.0,https://www.hltv.org/matches/2386136/-,t,ct,team2,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team1,team2,team2,team2,team2,team1,team2,team1,team2,team2,team1,team2,ct,t,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,team1,team2,team2,team2,ct,t,team2,team2,team2,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2
